,3,S? l??t KH ???c chuy?n g?i khám SKTT,,0,0,0,0,0,0,x,x,x,x,,T?ng s? l??t trong tháng (d? nhìn check báo cáo và thánh quy?t toán)
,4,"S? KH ???c chuy?n g?i khám SKTT, trong ?ó:",,0,0,0,0,0,0,x,x,x,x,D? li?u t? bi?u m?u khám và ?i?u tr? SKTT,
,,S? KH ???c chuy?n g?i khám SKTT l?n 1,,0,0,0,0,0,0,x,x,x,x,,
,,S? KH ???c tái khám SKTT,,0,0,0,0,0,0,x,x,x,x,,
,,S? l??t KH ???c tái khám SKTT,,0,0,0,0,0,0,x,x,x,x,,
,5,S? KH ???c ?i?u tr? n?i trú (nh?p vi?n),,0,0,0,0,0,0,x,x,x,x,,
,6,S? KH ???c h? tr? mua th? B?o hi?m y t?,,0,0,0,0,0,0,x,x,x,x,"Ch?a có bi?u m?u nh?p thông tin này
B? sung",
,IV,CÁC CAN THI?P CÁ NHÂN VÀ CAN THI?P NHÓM,,,,,,,,,,,,D? li?u t? bi?u m?u t? v?n,
,1,S? l??t KH ???c t? v?n cá nhân,,0,0,0,0,0,0,x,x,x,x,,
,2,"S? KH ???c t? v?n cá nhân, trong ?ó:",,0,0,0,0,0,0,x,x,x,x,,
,,S? KH ???c t? v?n 1 l?n,,0,0,0,0,0,0,,x,x,x,,
,,S? KH ???c t? v?n 2 l?n,,0,0,0,0,0,0,,x,x,x,,
,,S? KH ???c t? v?n t? 3 l?n tr? lên,,0,0,0,0,0,0,,x,x,x,,
,3,S? l??t KH ???c tham gia sinh ho?t nhóm,,0,0,0,0,0,0,x,x,x,x,D? li?u t? bi?u m?u sinh ho?t nhóm và can thi?p ch?a lành,T?ng s? l??t trong tháng (d? nhìn check báo cáo và thánh quy?t toán)
,4,S? KH ???c tham gia sinh ho?t nhóm,,0,0,0,0,0,0,x,x,x,x,,
,5,S? l??t KH ???c tham gia can thi?p ch?a lành,,0,0,0,0,0,0,x,x,x,x,,
,6,S? KH ???c tham gia can thi?p ch?a lành,,0,0,0,0,0,0,x,x,x,x,,
,V,CAN THI?P ONLINE,,,,,,,,,,,,,
,1,S? l??t KH ???c can thi?p online,,,,,,,,x,x,x,x,Ch?a th?ng nh?t vi?c thu th?p thông tin và cach can thi?p (?ng d?ng intellect),Ch?a có bi?u m?u REDCap t??ng ?ng trong DREAMH (thi?u F1-T? v?n cá nhân/F4-Can thi?p online/F7-F8). C?n b? sung instrument ?? tính t? ??ng.
,2,S? KH ???c can thi?p online,,,,,,,,x,x,x,x,,Ch?a có bi?u m?u REDCap t??ng ?ng trong DREAMH (thi?u F1-T? v?n cá nhân/F4-Can thi?p online/F7-F8). C?n b? sung instrument ?? tính t? ??ng.
,VI,D?CH V? CHUY?N G?I KHÁC,,,,,,,,,,,,,
,1,S? KH ???c chuy?n g?i d?ch v?/xét nghi?m thành công,-  PREP,,,,,,,x,x,x,x,"Hi?n ?ang ch?a có c? ch? h? tr? fixed và thu th?p d? li?u cho nh?ng chuy?n g?i này. Có thu th?p nh?ng d? li?u này không?
N?u có, b? sung bi?u m?u nh?p li?u, n?u không thì b? dòng này",
,,,-  PEP,,,,,,,x,x,x,x,,
,,,- Khám/?i?u tr? STIs,,,,,,,x,x,x,x,,
,,,"- XN/?i?u tr? Viêm gan B,C",,,,,,,x,x,x,x,,
,,,- Methadone,,,,,,,x,x,x,x,,
,,,- D?ch v? y t? khác,,,,,,,x,x,x,x,,
,VII,PHÁT TÀI LI?U TRUY?N THÔNG,,,,,,,,,,,,,
,1,S? quy?n tài li?u ?ã phát,,,,,,,,x,x,x,x,"Có d? li?u trong các ho?t ??ng nhóm (truy?n thông, sinh ho?t, can thi?p ch?a lành).
Có b? sung thêm tr??ng này trong phi?u t? v?n không vì v?n có th? phát tài li?u trong các bu?i t? v?n?",
,2,S? KH nh?n tài li?u ,,,,,,,,x,x,x,x,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
